Date,Stockfish_Elo,Bot_Depth,Games,Wins,Losses,Draws,Score,Score_Percent,Performance_Rating
2026-03-02 19:50:15,1320,3,10,9,1,0,9,90.0,1702
2026-03-02 22:12:15,1500,3,10,4,5,1,4.5,45.0,1465
2026-03-03 20:15:26,1500,3,10,8,2,0,8,80.0,1741
2026-03-03 20:43:45,1500,3,10,10,0,0,10,100.0,Undefined (0% or 100%)
